name,position,company,description,linkedin_url
"Rapp, Cathy",Vice President Board Of Directors,Hope Center,"Clinical Services Officer at Community Care, Inc.",https://www.linkedin.com/in/rapp-cathy-772a5b30/
"Alan Mendeloff, FHFMA, CHFP",Regional Vice President for Sales,Executive Health Resources,"Regional VP, EHR",https://www.linkedin.com/in/alan-mendeloff-fhfma-chfp-613a745/
Angie Broich,Manager of Administrative Services/Executive Assistant to Vice President of Sales & Marketing,WEA Trust,Manager of Administrative Services/Executive Assistant at WEA Trust,https://www.linkedin.com/in/angie-broich-a82b4ab9/
Bryant Hammig,"Vice President, Managed Care & Business Development",AboutHealth,Healthcare Executive,https://www.linkedin.com/in/bryant-hammig-9826392b/
Terri Wing,"Vice President, Medical Group Operations",Wheaton Franciscan Healthcare,"Administrative Director, Medical Group Operations and Physician Relations",https://www.linkedin.com/in/terri-wing-386b8035/
Patricia Girzadas,National Vice President,Sg2,Independent,https://www.linkedin.com/in/patricia-girzadas-80240613/
Jim Hendricks,Vice President Clinical Reimbursement,Lexington Health Network,at,https://www.linkedin.com/in/jim-hendricks-a715a235/
Gretchen Eder Sloan,Vice President,"Lolas Hope Inc.""",at,https://www.linkedin.com/in/gretchen-eder-sloan-54188195/
"Holly Schlenvogt, MSH, CPM",Executive Vice President,HIPAA Collaborative of Wisconsin,Accomplished privacy and security consultant. Your trusted compliance partner.,https://www.linkedin.com/in/hollyschlenvogt/
Ashley Gouge,Vice President Client Development,Cielo Talent,Helping healthcare organizations transform their recruiting functions.,https://www.linkedin.com/in/ashleygouge/
Carolyn R. Krause,Vice President,"Lane and Associates, Inc",Nursing and Health Care,https://www.linkedin.com/in/carolyn-r-krause-21851b2/
Emily Zuelzke,Vice President,Alverno College Hispanic Student Nurses Acossiation,Student at Alverno College,https://www.linkedin.com/in/emily-zuelzke-3a17b88b/
Amanda Kalupa,Vice President of Standards and Education,"Womens Panhellenic Association""",Healthcare Consulting Intern at Crowe Horwath,https://www.linkedin.com/in/amanda-kalupa-0046b05a/
Tim Belec,Vice President,WFHC,"Chief Information Officer, Ascension Wisconsin",https://www.linkedin.com/in/tim-belec-41317812/
Leann Delaney,Regional Vice President of Sales,LVM Systems,Regional VP of Sales at LVM Systems,https://www.linkedin.com/in/leann-delaney-7a117710/
"Suzan Yeager, CRCR, CTSM Silver","Vice President, Strategic Events Marketing","Perimeter Perspectives, Inc.","Client Services, Experiential Evolution",https://www.linkedin.com/in/suzan-yeager-crcr-ctsm-silver-7471b1b/
Jackie Mallow,Vice President/Board Member,Prader-Willi Syndrome Association of Wisconsin,Executive Program Consultant,https://www.linkedin.com/in/jackiemallow/
"Jeffrey Uhler, M.Div., BCC",Vice President,WISCONSIN CHAPLAINCY ASSOCIATION INC,"Neuro Chaplain at Aurora St. Lukes Medical Center""",https://www.linkedin.com/in/revjeffuhler/
Maja Jurisic,"Vice-President, Medical Director, Concentra Strategic Accounts",Concentra,"MD, CPE",https://www.linkedin.com/in/maja-jurisic-745aa010/
Hemant Shah,Vice President,Milwaukee Radiologists Ltd,Radiologist,https://www.linkedin.com/in/hemant-shah-930599103/
Edwin Foster,Senior Vice President of Later LIfe Enjoyment and Fulfillment,Retired,RETIRED,https://www.linkedin.com/in/edwin-foster-79552819/
Lorie Stasik,Vice President of Operations,"AGHIT Consulting, LLC",VP of Operations,https://www.linkedin.com/in/lorie-stasik-a4373114/
"Randall L. Thomas, RN, BSN, MBA, CSSG",Co-Owner / Vice President,"RN Consultation and Services, LLC",ICU Manager / All Saints at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/randall-l-thomas-rn-bsn-mba-cssgb-74677631/
Christine Hutchison,Vice President Organization & Leadership Development,Wheaton Franciscan Healthcare,Healthcare Executive,https://www.linkedin.com/in/christine-hutchison-24545512/
Gregg Brewster,,,MW Strategic Account Group VP at Cardinal Health,https://www.linkedin.com/in/gregg-brewster-367219a/
Dan Langenwalter,VP of Skilled Care,CHI Franciscan Villa,"VP of Skilled Care, CHI Franciscan Villa",https://www.linkedin.com/in/dan-langenwalter-46533926/
"Scott Morgan, R.Ph.",VP Pharmacy and Clinical Services,FlexScripts Administrators,President at Medals4Mettle,https://www.linkedin.com/in/scott-morgan-r-ph-0587409/
"Erika Howard, RHIA, CHPS, CHTS-IS",VP of Operations,RecordQUEST Software,VP of Operations at RecordQUEST Software and ROI Solutions,https://www.linkedin.com/in/erika-howard-rhia-chps-chts-is-ab0588b/
Brad Treichel,VP Finance & Administration,ProHealth Care,Vice President - Finance & Administration,https://www.linkedin.com/in/brad-treichel-5abb2781/
Juliet Kersten,"VP, Ambulatory and Regional Services","Childrens Hospital of Wisconsin""","Vice President, Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/juliet-kersten-77373613/
Annemarie Anderson,Founder | VP Operations Business Development,Leaders in Healthcare Operations & Business Development in the Greater Milwaukee Area,Vice President of Health Plan Operations - Aurora Health Care,https://www.linkedin.com/in/annemariemanderson/
Rhonda Anderson,,,Senior VP and CFO at Ascension Healthcare,https://www.linkedin.com/in/rhonda-anderson-36176b2/
Wendy Schafer,VP IT Support Services,Aurora Health Care,"VP, IT Support Services at Aurora Health Care",https://www.linkedin.com/in/wendy-schafer-304792a/
Ryan Heath,,,VP of Sales and Marketing at UnitedHealth Group,https://www.linkedin.com/in/ryan-heath-0844a37/
Tom Hill,,,VP of Supply Chain at Direct Supply,https://www.linkedin.com/in/tomhillseniorcare/
Amy Bohachek Olson,VP IT Business Analysis & Client Communication,Aurora Health Care,VP IT Business Applications,https://www.linkedin.com/in/amy-bohachek-olson-97a51528/
Jeanne Sands,,,VP IT Strategy and Planning at Presbyterian Healthcare Services,https://www.linkedin.com/in/jeanne-sands-5a51305/
Mimi Pfitzinger,VP of Clinical Operations,ProHealth Care,VP of Clinical Operations,https://www.linkedin.com/in/mimi-pfitzinger-646b0694/
Kay Schmidt,,,"VP, R&D at Catalent Pharma Solutions",https://www.linkedin.com/in/kay-schmidt-800ba46/
Gary Bob,VP & GM Global CCS Services & Solutions,GE Healthcare,VP & GM Global CCS Services & Solutions,https://www.linkedin.com/in/gary-bobb-0b741711/
Robert Raschke,,,"VP, IT Revenue Cycle Applications at Aurora Health Care",https://www.linkedin.com/in/robert-raschke-12698138/
Rodney Cain,"VP of Product Strategy, Optum Analytics",Optum,"VP of Product Strategy, Optum Analytics (a UnitedHealth Group Company)",https://www.linkedin.com/in/rodneycain/
Patrick Brown,,,"VP Sales and Marketing at Wildtree Herbs, Inc.",https://www.linkedin.com/in/patrickbrownwildtree/
Gary Colpaert,VP Clinical and Support Services,Froedtert Hospital,VP Clinical and Support Services,https://www.linkedin.com/in/gary-colpaert-7b65404/
Ryan Rob,,,VP Sales at Oax Health,https://www.linkedin.com/in/ryan-robb-a703224b/
Todd Edwards,VP/GM,ConsortiEX,VP GM,https://www.linkedin.com/in/todd-edwards-9932135/
Joe Clements,,,National VP-Account Management at UnitedHealth Group,https://www.linkedin.com/in/joe-clements-a450a21b/
Tricia Roberts,,,VP Finance at Golden Living,https://www.linkedin.com/in/tricia-roberts-9570011b/
Susan Huerta,VP Quality and Patient Safety,Froedtert Hospital,Enterprise VP Quality and Patient Safety at Froedtert & Medical College of Wisconsin,https://www.linkedin.com/in/susan-huerta-2b2458a/
Doug McManus,,,Senior VP and CMO of Greater Milwaukee North at Aurora Health Care,https://www.linkedin.com/in/doug-mcmanus-5914b449/
Steve Huser,VP of Treasury,Aurora Health Care,Senior VP of Treasury at Aurora Health Care,https://www.linkedin.com/in/steve-huser-2b71052/
Kandette Raether,VP Sales & Marketing,"Home Care Medical, Inc",VP Sales & Marketing at Home Care Medical,https://www.linkedin.com/in/kandette-raether-7b75a7a/
Lynn Bree,,,V.P. Healthcare Services at Molina Healthcare,https://www.linkedin.com/in/lynn-bree-3931565a/
Christine Krause,"Owner, VP, COO",Fi-Med Management,"VP, COO at Fi-Med Management",https://www.linkedin.com/in/christine-krause-99986025/
Debby Gault,,,VP Federal Reimbursements at American Medical Response,https://www.linkedin.com/in/debby-gault-39361012/
Schuster Lynn,,,VP Risk Management at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/schuster-lynn-83254b15/
Joseph F. Volpe,,,VP Supply Chain at Wheaton Franciscan Healthcare,https://www.linkedin.com/in/joseph-f-volpe-9707947/
Patti Harris,,,VP Emerging Markets at AirStrip,https://www.linkedin.com/in/patti-harris-87a54b4/
Stuart Arnett,,,VP Finance at Aurora Health Care,https://www.linkedin.com/in/stuart-arnett-0111b49/
Jim Klink,"VP, Strategic Accounts",API Healthcare a GE Healthcare Company,"VP, Strategic Accounts at API Healthcare",https://www.linkedin.com/in/jiklink/
Mark Herder,,,V.P. of Healthcare Operations at Credit Management Control,https://www.linkedin.com/in/mark-herder-3430772b/
"Jennifer (Laughlin) Mueller, MBA, RHIA, FACHE","VP Ancillary Services, CIO & Ethics, Compiance and HIPAA Privacy Officer",Watertown Regional Medical Center,"VP Ancillary Services, CIO Ethics, Compliance & HIPAA Privacy Officer at Watertown Regional Medical Center",https://www.linkedin.com/in/jenniferlaughlinmueller/
Sue Raymond,,,"VP, Human Resources at Sixteenth Street Community Health Centers",https://www.linkedin.com/in/sue-raymond-6b079814/
Patrick Prescott,,,"VP - Financial Solutions at Rhodes Group, Inc.",https://www.linkedin.com/in/patrick-prescott-b27b578/
Deb Gault,VP Federal Reimbursements & Regulatory Affairs,American Medical Response,VP Federal Reimbursement & Regulatory Affairs at American Medical Response,https://www.linkedin.com/in/deb-gault-58622431/
Dwight Morgan,,,VP Human Resource Services at Aurora Health Care,https://www.linkedin.com/in/dwight-morgan-037203b/
John May,VP Ambulatory Services,ProHealth Care,VP Ambulatory Services,https://www.linkedin.com/in/john-may-43854a12/
"Dennise Lavrenz MBA, RN, CENP",,,VP Clinical Strategy at Milwaukee Center For Independence,https://www.linkedin.com/in/dennise-lavrenz-mba-rn-cenp-98443630/
Terry Schwerdtfeger,,,,https://www.linkedin.com/in/terry-schwerdtfeger-90b52a63/
Ann Saqr,VP Marketing,Wheaton Franciscan Healthcare,VP Marketing at Wheaton Francsican Healthcare,https://www.linkedin.com/in/annsaqr/
Christiaan Baker,,,VP of Capital Sales at Direct Supply,https://www.linkedin.com/in/christiaan-baker-6277718/
Gardner Jim,VP Physician Integration and Development,ProHealth Care,VP Physician Integration and Development,https://www.linkedin.com/in/gardner-jim-55576258/
Akin R. Akinsanya,"VP, Operational Excellence","Ubi, LLC.",Connecting People with Solutions of Excellence,https://www.linkedin.com/in/akinakinsanya/
Abigail Navti Abongwa,"VP, Revenue Cycle",University of Wisconsin Health,Revenue Cycle,https://www.linkedin.com/in/abigail-navti-abongwa-740b1068/
Mark Lupo,Senior VP of National Sales,Direct Supply,Accomplished sales executive with over 20 years of building relationships and developing people,https://www.linkedin.com/in/mark-lupo-20986421/
Carey Burrall,VP of Operations/National Sales,Dynamic Mobile Imaging,Experienced Sales Healthcare Professional,https://www.linkedin.com/in/cburrall/
Christine Herbst,VP of Operations and Marketing,Midwest Nephrology Associates,Clinic & Healthcare Operations Executive,https://www.linkedin.com/in/christine-herbst-63053697/
Jill Felch-Garvin,"Executive Assistant to Sr VP of Social Responsibility, Directors of Community Benefits and Health",Aurora Health Care,Executive Assistant to SVP at Aurora Health Care,https://www.linkedin.com/in/jill-felch-garvin-33163b17/
Philia (Rentea) Kelnhofer,VP of Operations,"True Botanica, LLC","Owner, food blogger at The SweetPhi Blog",https://www.linkedin.com/in/philia-rentea-kelnhofer-19498113/
Jim Gardner,"VP, Physician Integration and Development",ProHealth Care,VPMA at ProHealth Care,https://www.linkedin.com/in/jim-gardner-11b49839/
